Classification,Centroid X µm,Centroid Y µm
Neither,298.07,327.74
Neither,309.93,328.28
Neither,127.47,327.19
Neither,153.89,327.91
Neither,189.63,329.18
Neither,253.77,328.01
Neither,134.18,326.84
Iba1,326.47,328.46
Neither,140.58,327.69
SOX2,408.49,328.72
Neither,213.69,328.31
Neither,233.03,330.69
Neither,270.67,328.82
SOX2: Ki67,413.2,330.48
Neither,175.12,329.66
Neither,222.79,330.74
Neither,199.84,330.87
SOX2: Ki67,422.85,330.37
SOX2,430.96,330.31
SOX2,76.8,330.52
Neither,51.42,331.9
SOX2,392.96,331.14
Neither,339.19,331.16
Neither,374.06,331.62
Neither,148.92,331.79
Neither,137.07,332.78
SOX2,402.47,332.01
SOX2,438.88,331.85
Neither,126.79,332.94
Neither,208.45,332.09
Neither,264.8,332.45
SOX2: Ki67,416.82,333.25
Neither,85.44,332.25
Neither,179.89,333.07
Neither,320.05,333.12
Neither,216.44,333.66
Neither,70.94,333.6
Neither,301.44,334.49
