Classification,Centroid X µm,Centroid Y µm
SOX2,276.66,131.47
Neither,219.61,130.9
SOX2,303.03,132.3
SOX2,367.74,133.55
Iba1,413.99,133.69
SOX2,88.87,134.9
SOX2,284.3,132.74
Neither,188.99,133.95
SOX2,404.99,135.87
SOX2,205.89,137.29
SOX2,33.07,136.84
Iba1,159.29,135.89
Neither,196.17,137.48
SOX2,441.83,138.64
SOX2,236.8,138.81
SOX2,74.76,138.48
SOX2,172.05,138.82
Iba1,181.37,137.95
SOX2,43.33,138.65
SOX2,398.5,138.41
Neither,217.5,137.95
Neither,249.71,139.19
SOX2,280.12,144.31
SOX2,286.03,139.55
SOX2: Ki67,311.91,138.58
Iba1: Ki67,56.93,139.26
Neither,16.83,142.93
SOX2,376.06,138.73
SOX2,267.16,138.73
SOX2,154.14,142.36
SOX2,302.11,142.11
SOX2,338.39,141.03
Iba1,295.71,140.58
SOX2,321.1,140.71
Iba1,433.45,143.23
SOX2,364.18,142.99
Iba1,388.6,142.71
SOX2,272.32,143.11
Iba1,221.57,145.24
SOX2,403.26,144.28
SOX2,37.02,145.67
SOX2,263.42,142.47
SOX2,379.61,144.46
SOX2,49.27,147.84
SOX2,86.01,147.41
SOX2,198.63,147.79
SOX2,103.84,148.12
SOX2,167.26,147.06
SOX2,261.53,147.61
SOX2,310.83,149.37
SOX2,71.59,148.98
SOX2,271.61,151.64
SOX2,62.27,152.87
SOX2,188.02,149.77
Iba1,342.6,152.04
SOX2,386.19,153
Neither,299.96,152.54
SOX2,31.21,151.54
SOX2,134.47,153.61
SOX2,225.14,152.56
SOX2,166.58,155.48
SOX2,235.21,156.75
SOX2,365.21,155.87
SOX2,279.89,160.14
SOX2,211.94,157.01
SOX2,263.84,158.76
Neither,189.75,158.57
SOX2,33.75,158.32
SOX2,357.29,159.16
SOX2,220.49,162.08
SOX2,307.23,161.17
SOX2,170.55,160.28
SOX2: Ki67,418.8,164.76
Neither,326.99,162.64
SOX2,291.81,164.26
SOX2,141.95,165.01
SOX2,173.9,163.92
SOX2,237.52,165.31
Neither,206.45,166.78
SOX2,246.59,166.38
SOX2,166.95,165.64
SOX2: Ki67,405.87,166.31
SOX2,338.88,167.19
SOX2: Ki67,49.26,167.51
SOX2,228.46,166.23
Neither,258.51,167.22
SOX2,370.13,168.25
Iba1,32.55,171.25
Iba1,324.71,168.86
Iba1,304.59,171.16
SOX2,400.09,171.82
SOX2,169.16,173.16
Iba1,58.71,171.61
SOX2,185.86,171.92
Neither,291.5,173.38
SOX2: Ki67,100.72,172.9
Neither,154.46,170.06
Neither,161.51,171.5
Iba1,175.76,172.26
SOX2,225.07,174.46
Neither,256.11,173.51
Neither,148.29,174.19
SOX2,237.55,174.07
Neither,265.67,172.86
SOX2,137.94,175.49
