"Classification","xDim","yDim"
"Neither",541.6544,73.5319
"CD3",240.8544,76.0319
"CD3",213.6544,77.0319
"Neither",404.9544,75.7319000000002
"CD3",374.8544,77.0319
"Neither",599.2544,77.2319000000002
"CD3",295.8544,78.8319000000001
"CD3: CD8",359.0544,78.8319000000001
"Neither",552.1544,75.6319000000003
"Neither",584.3544,77.5319
"Neither",701.0544,81.4319
"CD3",320.1544,77.3319000000001
"Neither",479.9544,77.2319000000002
"Neither",620.1544,76.7319000000002
"CD3",228.2544,79.3319000000001
"Neither",524.8544,81.4319
"CD3",612.7544,79.8319000000001
"Neither",446.6544,77.5319
"Neither",646.7544,77.9319
"Neither",282.6544,80.7319000000002
"CD3: CD8",464.9544,80.4319
"CD3",255.4544,81.3319000000001
"Neither",453.2544,80.4319
"Neither",539.5544,80.8319000000001
"Neither",593.3544,83.1319000000003
"CD3: CD8",394.7544,81.0319
"Neither",559.8544,81.4319
"CD3: CD8",316.1544,82.8319000000001
"Neither",551.6544,84.8319000000001
"CD3: CD8",340.6544,82.8319000000001
"Neither",443.8544,82.8319000000001
"Neither",271.5544,82.9319
"CD3",326.3544,84.6319000000003
"Neither",644.2544,87.6319000000003
"Neither",203.6544,84.8319000000001
"CD3: CD8",402.7544,83.6319000000003
"CD3: CD8",383.4544,85.9319
"Neither",604.8544,86.6319000000003
"CD3: CD8",371.4544,87.1319000000003
"Neither",457.3544,85.2319000000002
"Neither",494.4544,87.0319
"Neither",629.6544,85.3319000000001
"Neither",475.8544,85.9319
"CD3",244.1544,86.7319000000002
"CD3",234.4544,87.2319000000002
"Neither",585.7544,86.5319
"Neither",421.0544,87.4319
"Neither",536.4544,88.9319
"CD3: CD8",297.8544,88.5319
"CD3: CD8",408.8544,88.3319000000001
"Neither",465.4544,89.8319000000001
"Neither",310.3544,88.2319000000002
"Neither",436.1544,90.6319000000003
"CD3",278.9544,89.9319
"Neither",621.9544,94.9319
"CD3",333.8544,91.6319000000003
"Neither",564.6544,89.8319000000001
"Neither",362.9544,92.4319
"CD3: CD8",400.2544,91.4319
"CD3",172.0544,92.8319000000001
"CD3",391.4544,92.7319000000002
"Neither",307.1544,93.6319000000003
"Neither",457.7544,91.9319
"Neither",423.1544,94.5319
"Neither",546.3544,93.0319
"Neither",670.8544,98.1319000000003
"Neither",241.4544,95.1319000000003
"Neither",569.9544,95.5319
"CD3",279.9544,98.0319
"CD3: CD8",196.7544,96.6319000000003
"CD3",188.1544,95.7319000000002
"CD3",263.4544,96.3319000000001
"Neither",516.5544,95.9319
"Neither",656.6544,98.2319000000002
"CD3",296.8544,98.5319
"CD3",219.4544,98.5319
"Neither",472.0544,97.8319000000001
"Neither",253.4544,98.5319
"Neither",529.2544,99.8319000000001
"CD3",357.4544,102.1319
"Neither",558.3544,100.3319
"CD3",345.2544,99.9319
"Neither",635.7544,101.1319
"Neither",392.9544,102.6319
"CD3",331.3544,102.0319
"CD3",305.6544,103.0319
"Neither",487.9544,101.9319
"Neither",501.6544,101.9319
"Neither",509.0544,102.0319
"Neither",548.7544,102.4319
"Neither",177.0544,102.3319
"CD3",420.8544,102.0319
"Neither",520.0544,109.2319
"CD3",595.7544,103.1319
"Neither",263.0544,105.1319
"Neither",580.0544,103.1319
"Neither",463.7544,105.3319
"CD3",240.9544,105.5319
"CD3",228.7544,108.0319
"CD3",319.1544,107.2319
"CD3",370.4544,108.4319
"Neither",216.7544,108.4319
"Neither",624.2544,107.1319
"Neither",419.1544,109.0319
"Neither",630.7544,109.6319
"Neither",561.7544,110.1319
"Neither",648.0544,108.2319
"Neither",545.1544,110.8319
"Neither",399.4544,110.4319
"Neither",298.8544,111.8319
"Neither",310.5544,111.4319
"Neither",583.0544,110.6319
"Neither",591.6544,111.1319
"Neither",618.4544,110.7319
"CD3: CD8",351.9544,110.8319
"Neither",610.9544,111.7319
"CD3",328.7544,113.2319
"Neither",663.3544,119.2319
"Neither",261.9544,115.7319
"CD3",336.3544,112.7319
"CD3: CD8",406.7544,113.4319
"Neither",645.1544,115.8319
"Neither",344.5544,113.2319
"CD3: CD8",356.5544,116.0319
"CD3",201.8544,114.6319
"PanCK",635.9544,117.6319
"Neither",678.2544,115.0319
"Neither",214.1544,116.4319
"CD3: CD8",232.6544,118.8319
"Neither",349.3544,116.4319
"Neither",207.4544,115.8319
"CD3: CD8",364.7544,118.8319
"Neither",593.3544,116.4319
"Neither",490.4544,116.6319
"Neither",537.9544,117.4319
"Neither",284.2544,117.5319
"CD3: CD8",316.3544,117.9319
"Neither",384.1544,118.8319
"CD3: CD8",462.7544,117.7319
"Neither",339.0544,120.6319
"CD3",374.9544,120.4319
"Neither",446.6544,118.3319
"Neither",684.8544,123.6319
"CD3",292.6544,121.5319
"Neither",522.3544,123.1319
"Neither",503.2544,120.6319
"Neither",594.2544,122.6319
"CD3: CD8",468.8544,122.5319
"Neither",579.0544,121.0319
"CD3",305.7544,125.1319
"CD3",403.4544,122.6319
"Neither",214.6544,124.4319
"CD3",322.4544,124.6319
"Neither",350.0544,125.6319
"CD3: CD8",478.9544,124.6319
"CD3: CD8",458.4544,127.2319
"Neither",584.6544,124.5319
"Neither",641.5544,125.8319
"CD3",279.9544,125.5319
"CD3",443.6544,127.0319
"CD3",235.3544,128.2319
"CD3: CD8",371.4544,128.1319
"Neither",492.4544,126.7319
"CD3",384.4544,127.9319
"CD3",336.7544,129.0319
"Neither",413.6544,126.8319
"Neither",650.8544,129.0319
"CD3",171.6544,128.9319
"Neither",634.7544,130.4319
"CD3",316.8544,131.3319
"CD3",362.6544,130.7319
"Neither",288.5544,133.6319
"PanCK",298.2544,130.3319
"Neither",540.4544,130.0319
"Neither",579.2544,129.3319
"CD3: CD8",465.9544,131.5319
"Neither",600.3544,131.8319
"Neither",212.1544,133.9319
"Neither",557.2544,133.2319
"Neither",660.9544,135.3319
"CD3: CD8",501.3544,133.7319
"CD3: CD8",387.0544,136.0319
"CD3: CD8",436.8544,133.0319
"Neither",481.2544,133.5319
"Neither",533.1544,136.1319
"Neither",673.0544,134.4319
"Neither",575.4544,134.7319
"CD3",184.6544,135.5319
"Neither",343.8544,137.2319
"Neither",424.1544,137.6319
"Neither",585.4544,136.3319
"Neither",679.2544,141.5319
"Neither",355.4544,137.5319
"CD3: CD8",468.1544,137.7319
"Neither",630.0544,135.3319
"CD3",228.5544,137.1319
"Neither",604.4544,138.4319
"CD3",445.3544,140.0319
"CD3",455.0544,143.9319
"CD3",393.8544,140.1319
"CD3",489.8544,138.8319
"CD3",319.5544,143.1319
"CD8",432.6544,140.7319
"Neither",640.4544,141.9319
"CD3: CD8",438.5544,142.2319
"Neither",667.6544,140.6319
"Neither",618.5544,142.3319
"CD3: CD8",270.4544,145.9319
"Neither",651.9544,142.7319
"Neither",327.8544,142.7319
"CD8",475.0544,142.6319
"CD3",465.1544,145.8319
"CD3",261.2544,145.0319
"Neither",631.4544,144.1319
"Neither",485.6544,147.6319
"Neither",534.0544,146.0319
"Neither",540.6544,145.4319
"Neither",528.8544,148.6319
"Neither",665.1544,148.6319
"CD3",416.9544,149.7319
"CD3",424.7544,150.4319
"Neither",471.8544,150.0319
"CD3",394.6544,149.2319
"Neither",601.2544,149.1319
"CD3",354.9544,150.7319
"Neither",589.7544,150.2319
"CD3",498.3544,149.1319
"Neither",554.3544,151.6319
"Neither",384.8544,151.5319
"CD3: CD8",373.0544,154.6319
"CD3: CD8",480.4544,153.7319
"Neither",671.2544,153.1319
"CD3: CD8",405.3544,155.9319
"CD3: CD8",461.2544,155.9319
"Neither",504.7544,155.4319
"Neither",598.1544,156.2319
"Neither",540.8544,154.6319
"Neither",445.3544,155.6319
"Neither",607.0544,154.2319
"Neither",719.1544,156.5319
"CD3",428.6544,158.8319
"CD3: CD8",231.8544,156.3319
"Neither",263.3544,158.8319
"CD3",199.0544,156.6319
"CD3",211.0544,157.5319
"CD3: CD8",452.1544,159.1319
"Neither",612.5544,158.7319
"Neither",436.8544,160.2319
"Neither",623.0544,157.0319
"Neither",660.3544,157.2319
"CD3",173.4544,160.4319
"Neither",630.0544,156.9319
"Neither",696.3544,157.8319
"CD3: CD8",475.7544,160.1319
"CD3: CD8",184.3544,161.8319
"Neither",487.7544,159.6319
"Neither",668.6544,160.5319
"Neither",635.9544,160.4319
"Neither",679.4544,162.1319
"CD3: CD8",412.4544,161.2319
"CD3",419.9544,162.0319
"Neither",587.7544,159.4319
"CD3: CD8",384.6544,162.2319
"CD3",322.3544,163.1319
"CD3",244.4544,163.5319
"CD3",466.7544,162.8319
"CD3",523.8544,165.3319
"Neither",254.8544,165.8319
"CD3",332.1544,165.1319
"Neither",446.7544,165.6319
"CD3: CD8",503.6544,165.2319
"Neither",360.2544,164.5319
"Neither",375.8544,164.6319
"Neither",537.7544,164.1319
"CD3: CD8",216.5544,165.7319
"Neither",600.0544,167.1319
"Neither",456.8544,168.5319
"Neither",590.0544,166.2319
"CD3",343.9544,166.8319
"Neither",617.4544,166.5319
"Neither",565.6544,167.4319
"Neither",491.2544,166.6319
"CD3",469.4544,168.4319
"Neither",474.3544,168.7319
"Neither",515.8544,166.8319
"CD3",193.5544,168.6319
"Neither",657.6544,168.4319
"Neither",227.7544,170.0319
"PanCK",170.9544,168.6319
"Neither",366.2544,169.3319
"Neither",416.2544,174.0319
"Neither",537.0544,170.9319
"CD3",697.8544,169.2319
"Neither",510.1544,173.8319
"Neither",583.9544,170.7319
"Neither",733.0544,171.6319
"Neither",479.8544,173.2319
"Neither",719.4544,171.7319
"Neither",490.2544,173.6319
"CD3",212.0544,174.8319
"CD3",432.1544,173.3319
"Neither",624.6544,172.7319
"CD3",744.0544,174.0319
"Neither",330.9544,174.0319
"CD3",377.9544,175.2319
"CD3",592.5544,175.1319
"Neither",638.1544,174.8319
"CD3",698.4544,177.9319
"Neither",496.0544,176.5319
"Neither",676.7544,174.2319
"CD3",737.6544,176.8319
"CD3: CD8",441.0544,176.8319
"Neither",470.0544,176.4319
"CD3",618.4544,178.0319
"PanCK",189.4544,177.3319
"Neither",292.2544,178.0319
"Neither",346.5544,176.7319
"Neither",408.4544,176.4319
"Neither",398.4544,177.8319
"Neither",366.4544,178.1319
"Neither",320.3544,179.6319
"Neither",451.3544,178.0319
"Neither",571.0544,180.1319
"Neither",730.0544,180.0319
"CD3",710.2544,180.5319
"Neither",719.7544,180.5319
"Neither",424.4544,180.8319
"Neither",502.6544,179.4319
"Neither",463.5544,179.1319
"CD3",687.4544,180.1319
"Neither",510.6544,182.1319
"PanCK",178.4544,184.7319
"CD3",272.1544,182.6319
"Neither",677.2544,180.7319
