Classification,Parent,Centroid X µm,Centroid Y µm
PanCK,Annotation,939.73,373.08
,Annotation,1011.6,373.79
,Annotation,883,383.41
,Annotation,867.19,381.52
,Annotation,1021.1,377.62
PanCK,Annotation,941.88,381.78
,Annotation,1036.8,382.01
,Annotation,1005.2,382.94
,Annotation,1025.3,383.51
,Annotation,840.11,387.88
,Annotation,940.25,392.04
,Annotation,753.75,390.3
,Annotation,1019.1,390.57
,Annotation,999.78,390.22
,Annotation,1035.3,393.65
,Annotation,837.58,396.27
,Annotation,885.49,397.95
,Annotation,1043.9,393.47
PanCK,Annotation,990.8,398.3
,Annotation,1152.7,394.91
,Annotation,755.03,399.04
,Annotation,848.31,397.83
,Annotation,1016.2,398.84
,Annotation,1003.3,399.3
,Annotation,946.51,404.88
,Annotation,852.27,407.35
,Annotation,961.88,403.48
,Annotation,1039.8,405.05
,Annotation,1006.8,405.04
,Annotation,957.07,408.46
,Annotation,1029.5,405.68
,Annotation,866.91,406.41
,Annotation,899.58,407.72
,Annotation,883.43,408.79
,Annotation,999.95,407.61
,Annotation,919.56,410.21
PanCK,Annotation,891.5,409.36
,Annotation,995,414.23
,Annotation,1011,409.74
,Annotation,1004.6,414.7
,Annotation,1028.1,414.37
,Annotation,965.39,415.97
,Annotation,892.77,421.87
,Annotation,853.96,417.87
,Annotation,926.77,417.48
,Annotation,1044.7,418.49
,Annotation,974.95,420.89
,Annotation,1001.7,421.31
,Annotation,1018.7,419.18
,Annotation,858.82,421.64
,Annotation,1030.3,422.4
,Annotation,1038.3,424.56
,Annotation,864.21,427.85
,Annotation,766.29,426.6
,Annotation,785.53,425.66
,Annotation,966.08,426.73
,Annotation,1002.3,429.72
,Annotation,1017,426.94
,Annotation,973.41,430.3
,Annotation,754.73,430
,Annotation,791.33,427.89
,Annotation,1047.5,430.69
,Annotation,1008.5,430.41
,Annotation,824.43,432.22
,Annotation,870.27,435.32
,Annotation,977.88,435.65
,Annotation,1015,434.7
,Annotation,951.87,436.3
,Annotation,861.29,436.11
,Annotation,962.02,436.45
,Annotation,1029.6,435.44
,Annotation,1011.4,441.99
,Annotation,876.05,439.1
,Annotation,885.04,438.21
,Annotation,1022.5,439.52
,Annotation,1041.2,440.75
,Annotation,782.18,441.05
,Annotation,793.15,442.73
,Annotation,830.94,442.17
,Annotation,821.36,442.89
,Annotation,763.41,445.75
,Annotation,858.35,443.93
,Annotation,879.95,445.9
,Annotation,970.15,443.97
,Annotation,951.43,448.42
,Annotation,963.48,448.22
,Annotation,812.88,446.43
,Annotation,1050.4,445.94
,Annotation,788.3,447.9
,Annotation,1008.7,451.8
,Annotation,782.29,450.02
,Annotation,981.25,452.43
,Annotation,867.47,449.41
,Annotation,863.02,454.3
,Annotation,1043.5,451.59
,Annotation,873.38,451.17
,Annotation,1063.8,453.57
,Annotation,843.21,453.39
,Annotation,849.69,454.43
,Annotation,1029.8,454.74
,Annotation,792.33,455.36
,Annotation,971.53,460.38
,Annotation,1120.2,458.41
,Annotation,875.91,461.11
,Annotation,800.43,458.72
,Annotation,957.08,462.46
,Annotation,964.44,462.89
,Annotation,1074,460.55
,Annotation,919.88,459.11
PanCK,Annotation,995.19,461.04
,Annotation,1051.6,460.68
,Annotation,860.09,463.44
,Annotation,984.2,467.07
,Annotation,791.65,465.87
,Annotation,1081.2,465.67
,Annotation,916.93,465.74
,Annotation,977.28,466.43
,Annotation,995.29,472.1
,Annotation,882.78,472.49
CD3,Annotation,949.89,475.75
,Annotation,1076.5,469.63
,Annotation,920.84,472.66
,Annotation,766.51,472.99
,Annotation,830.51,476.22
,Annotation,1039.4,472.6
,Annotation,1083.2,474.24
,Annotation,1072.8,474.45
,Annotation,966.44,475.39
,Annotation,774.06,476.21
,Annotation,1063.2,476.21
,Annotation,875.73,479.55
,Annotation,919.19,481
,Annotation,975.15,480.37
,Annotation,817.54,482.14
,Annotation,1085.2,482.63
,Annotation,1122.9,481.36
,Annotation,1091.8,482.76
,Annotation,1054.4,482.34
,Annotation,957.83,484.42
,Annotation,963.75,487.17
,Annotation,970.38,487.67
,Annotation,1064.3,485.63
,Annotation,880.33,491.17
,Annotation,1084.5,492.01
,Annotation,951.24,493.79
,Annotation,1067.1,492.75
,Annotation,983.88,493.98
,Annotation,1005.9,491.9
,Annotation,1053.6,493.4
,Annotation,943.07,491.27
,Annotation,889.19,492.77
,Annotation,807.96,495.29
,Annotation,960.02,496.58
,Annotation,946.15,501.57
,Annotation,795.82,497.92
,Annotation,971.04,497.79
,Annotation,887.31,501.63
,Annotation,1021.9,498.98
,Annotation,1029.4,499.43
,Annotation,1039.5,502.77
,Annotation,1077.3,503.15
,Annotation,936.89,501.13
,Annotation,1016.8,503.3
,Annotation,794.61,513.18
,Annotation,1132.4,505.15
,Annotation,895.42,506.21
,Annotation,964.91,504.52
,Annotation,973.44,505.59
,Annotation,1052.4,508.76
,Annotation,1010,506.8
,Annotation,1087.8,506.83
,Annotation,939.09,509.85
,Annotation,954.9,511.72
,Annotation,885.75,514.5
,Annotation,964.71,514.47
,Annotation,1088.6,514.03
,Annotation,1134.2,518.91
,Annotation,757.73,521.84
,Annotation,895.88,517.08
,Annotation,1093.8,518.3
,Annotation,973.9,518.76
,Annotation,983.54,518.49
,Annotation,866.64,520.86
,Annotation,781.21,523.67
,Annotation,855.39,521.9
,Annotation,966.75,524.98
,Annotation,895.41,524.85
,Annotation,1103.3,525.23
,Annotation,1074,526.89
,Annotation,1083.4,526.52
,Annotation,889.51,529.46
,Annotation,1091.9,526.46
PanCK,Annotation,981.84,531.62
,Annotation,876.27,529.34
,Annotation,1108.1,528.69
,Annotation,812.06,528.31
,Annotation,864.31,530.21
,Annotation,1099.5,530.71
,Annotation,804.27,535.09
,Annotation,945.95,532.99
,Annotation,758.23,536.25
,Annotation,813.25,535.99
,Annotation,1079.9,534.87
